#,Writer,Total Ep Cnt,Per-Show Breakdown,Top 5 TV Credits (Year),Prelim Sources
449,"Jessi Klein",23,"Inside Amy Schumer (20); Dead to Me (3)","Inside Amy Schumer (13); Dead to Me (19); Big Mouth (17); Transparent (14)","[IMDb], [Emmys]"
450,"Jessica Conrad",6,"Angie Tribeca (3); Stan Against Evil (3)","Angie Tribeca (16); Stan Against Evil (16)","[IMDb]"
451,"Jessica Gao",5,"Rick & Morty (5)","Rick & Morty (13); She-Hulk: Attorney at Law (22); Silicon V. (14); Corporate (18)","[IMDb], [Emmys]"
452,"Jessica Lee Williamson",3,"F Is for Family (3)","F Is for Family (15)","[IMDb]"
453,"Jessica Polonsky",7,"B99 (3); Tacoma FD (4)","Tacoma FD (19); B99 (13); Bunk'd (15)","[IMDb]"
454,"Jessica St. Clair",10,"Playing House (10)","Playing House (14); Avenue 5 (Actor, 20); Bridesmaids (Film Actor, 11); Space Force (Actor)","[IMDb]"
455,"Jess Pineda",4,"Neighborhood (4)","Neighborhood (18)","[IMDb]"
456,"Jim Dauterive",38,"KOTH (33); Bob's Burgers (5)","KOTH (97); Bob's Burgers (11); Bless the Harts (19)","[IMDb], [Emmys]"
457,"Jim Gavin",7,"Lodge 49 (7)","Lodge 49 (18)","[IMDb]"
458,"Jim Reynolds",15,"Neighborhood (15)","Neighborhood (18); Big Bang Theory (07); Samantha Who? (07)","[IMDb]"
459,"Jim Vallely",13,"Arrested Dev. (13)","Arrested Dev. (03); Golden Girls (85); My Wife and Kids (01)","[IMDb], [Emmys]"
460,"Jimmy Fowlie",3,"The Other Two (3)","The Other Two (19)","[IMDb]"
461,"Joanna Calo",5,"Bear (5)","Bear (22); BoJack Horseman (14); Hacks (21)","[IMDb]"
462,"Jocelyn Bioh",3,"Russian Doll (3)","Russian Doll (19); She's Gotta Have It (17); School Girls (Play)","[IMDb]"
463,"Jody Hill",13,"Eastbound (13)","Eastbound & Down (09); Vice Principals (16); Righteous Gemstones (19); Observe & Report (Film, 09)","[IMDb]"
464,"Joe Chandler",7,"American Dad (7)","American Dad (05)","[IMDb]"
465,"Joe Cristalli",11,"HIMYM (3); Life in Pieces (8)","Life in Pieces (15); HIMYM (05)","[IMDb]"
466,"Joe Gangemi",7,"Red Oaks (7)","Red Oaks (14); Stonehearst Asylum (Film, 14); Wind Chill (Film, 07)","[IMDb]"
467,"Joe Heslinga",6,"F Is for Family (6)","F Is for Family (15)","[IMDb]"
468,"Joe Kelly",23,"HIMYM (12); Ted Lasso (11)","HIMYM (05); Ted Lasso (20); Detroiters (17); How to Be a Gentleman (11)","[IMDb]"
469,"Joe Mande",16,"TGP (7); P&R (6); Hacks (3)","TGP (16); P&R (09); Hacks (21); Master of N. (15); Kroll Show (13)","[IMDb]"
470,"Joe Piarulli",7,"Cobra Kai (7)","Cobra Kai (18)","[IMDb]"
471,"Joe Stillman",17,"KOTH (7); Beavis & B-H (10)","KOTH (97); Beavis & B-H (93); Shrek (Film, 01); Shrek 2 (Film, 04)","[IMDb], [Annie]"
472,"Joe Wengert",10,"Big Mouth (10)","Big Mouth (17); Kroll Show (13); New Girl (11); Undateable (14)","[IMDb]"
473,"Joel H. Cohen",16,"Simpsons (16)","Simpsons (89); Suddenly Susan (96); Grounded for Life (01)","[IMDb]"
474,"Joel Hurwitz",7,"American Dad (7)","American Dad (05)","[IMDb]"
475,"Joel Kim Booster",4,"The Other Two (4)","The Other Two (19); Big Mouth (17); Fire Island (Film, 22); Loot (22)","[IMDb]"
476,"Joey Gutierrez",3,"Raising Hope (3)","Raising Hope (10); Yes, Dear (00); Still Standing (02)","[IMDb]"
477,"John Altschuler",26,"KOTH (11); Silicon V. (12); Beavis & B-H (3)","Silicon V. (14); KOTH (97); Beavis & B-H (93); Lopez (16); Blades of Glory (Film, 07)","[IMDb]"
478,"John Amodeo",7,"Last Man Standing (7)","Last Man Standing (11); Arrested Dev. (03)","[IMDb]"
479,"John Carcieri",14,"Eastbound (4); Last OG (10)","Last OG (18); Eastbound (09); Vice Principals (16); Righteous Gemstones (19)","[IMDb]"
480,"John Crane",40,"MADtv (40)","MADtv (95); TripTank (14)","[IMDb]"
481,"John Enbom",9,"iZombie (9)","iZombie (15); Veronica Mars (04); Party Down (09); Terminator: SCC (08)","[IMDb]"
482,"John Frink",35,"Simpsons (35)","Simpsons (89); Veronica's Closet (97); Hope & Faith (03)","[IMDb]"
483,"John Harris",3,"Rick & Morty (3)","Rick & Morty (13)","[IMDb]"
484,"John Hoberg",3,"Grinder (3)","Grinder (15); My Name Is Earl (05); Better Off Ted (09); Downward Dog (17)","[IMDb]"
485,"John Kazlauskas",3,"Superstore (3)","Superstore (15); American Auto (21)","[IMDb]"
486,"John Levenstein",17,"Arrested Dev. (4); Kroll Show (10)","Kroll Show (13); Arrested Dev. (03); Portlandia (11); Silicon V. (14)","[IMDb]"
487,"John Pollack",14,"Modern Family (10); Fresh Off Boat (4)","Modern Family (09); Fresh Off Boat (15); 30 Rock (06); Late Show w/ David Letterman (93)","[IMDb]"
488,"John Quaintance",3,"Workaholics (3)","Workaholics (11); Undateable (14); Ground Floor (13); Just Shoot Me! (97)","[IMDb]"
489,"John Solomon",12,"Last Man (9); Bless Harts (3)","Last Man on Earth (15); Bless the Harts (19); MacGruber (10)","[IMDb]"
490,"John Swartzwelder",59,"Simpsons (59)","Simpsons (89); SNL (85); Garry Shandling (86)","[IMDb], [Emmys]"
491,"John Viener",10,"Family Guy (10)","Family Guy (99 - Writer/Voice Actor); Ted (Film Series); Dads (13)","[IMDb]"
492,"Jon Brown",3,"Avenue 5 (3)","Avenue 5 (20); Fresh Meat (11); Misfits (09)","[IMDb]"
493,"Jon Daly",15,"Kroll Show (15)","Kroll Show (13); Betas (13); Human Giant (07); Next Time On Lonny (11)","[IMDb]"
494,"Jon Haller",15,"Last Man Standing (15)","Last Man Standing (11); 30 Rock (06)","[IMDb]"
495,"Jon Hurwitz",17,"Cobra Kai (17)","Cobra Kai (18); Harold & Kumar (Film Series)","[IMDb]"
496,"Jon Lajoie",3,"League (3)","League (09 - Writer/Actor); Lajoie (YouTube)","[IMDb]"
497,"Jon Pollack",14,"Modern Family (10); Fresh Off Boat (4)","Modern Family (09); Fresh Off Boat (15); 30 Rock (06); Spin City (96)","[IMDb]"
498,"Jon Schroeder",15,"Bob's Burgers (15)","Bob's Burgers (11)","[IMDb]"
499,"Jon Stern",5,"Childrens Hospital (5)","Childrens Hospital (08)","[IMDb]"
500,"Jon Vitti",35,"Simpsons (25); KOTH (4); Office (3); Da Ali G Show (3)","Simpsons (89); KOTH (97); Office (05); Da Ali G Show (00); Larry Sanders (92)","[IMDb], [Emmys]"
501,"Jonathan Aibel",17,"KOTH (17)","KOTH (97); Kung Fu Panda (Film Series); Trolls (Film Series); SpongeBob (Film Series)","[IMDb], [Annie]"
502,"Jonathan Emerson",4,"Upshaws (4)","Upshaws (21)","[IMDb]"
503,"Jonathan Fener",10,"American Dad (10)","American Dad (05)","[IMDb]"
504,"Jonathan Green",17,"Superstore (14); Office (3)","Superstore (15); Office (05); Mr. Mayor (21); Carol's 2nd Act (19); Letterman (93)","[IMDb]"
505,"Jonathan Groff (Writer)",15,"HIMYM (7); Happy Endings (8)","Happy Endings (11); HIMYM (05); Black-ish (14); Late Night w/ Conan O'Brien (93)","[IMDb]"
506,"Jonathan Howard",12,"Goldbergs (12)","Goldbergs (13)","[IMDb]"
507,"Jonathan Krisel",70,"Portlandia (70)","Portlandia (11); Baskets (16); Kroll Show (13); Tim and Eric Awesome Show (07); SNL (99)","[IMDb], [Emmys]"
508,"Jonathan Stern",15,"Childrens Hospital (15)","Childrens Hospital (08); Wet Hot Am. Summer (15); Medical Police (20); Burning Love (12)","[IMDb], [Emmys]"
509,"Jordan Black",6,"Last Man Standing (6)","Last Man Standing (11); The Mindy Project (Actor, 12); Community (Actor, 09)","[IMDb]"
510,"Jordan Blum",10,"American Dad (10)","American Dad (05); M.O.D.O.K. (21); Community (09)","[IMDb]"
511,"Jordan Firstman",5,"Search Party (5)","Search Party (16)","[IMDb]"
512,"Jordan Peele",64,"Key & Peele (54); MADtv (10); Last OG (10)","Key & Peele (12); MADtv (03); Last OG (18); Get Out (Film, 17); Us (Film, 19)","[IMDb], [Oscar]"
513,"Jordan Reddout",3,"Black-ish (3)","Black-ish (14); Will & Grace (17); The Muppets Mayhem (23)","[IMDb]"
514,"Jordan Young",7,"Raising Hope (3); Life in Pieces (4)","Life in Pieces (15); Raising Hope (10); BoJack Horseman (14); It's Always Sunny (05)","[IMDb]"
515,"Josh Bycel",3,"Happy Endings (3)","Happy Endings (11); Scrubs (01); American Dad (05); Solar Opposites (20)","[IMDb]"
516,"Josh Gad",10,"Central Park (10)","Central Park (20); Frozen (Film Actor, 13); Book of Mormon (Stage Actor, 11); 1600 Penn (12)","[IMDb]"
517,"Josh Gardner",20,"MADtv (20)","MADtv (95); Saul of the Mole Men (07)","[IMDb]"
518,"Josh Greenberg",10,"Last Man Standing (7); Not Dead Yet (3)","Last Man Standing (11); Not Dead Yet (23); The McCarthys (14)","[IMDb]"
519,"Josh Heald",17,"Cobra Kai (17)","Cobra Kai (18); Hot Tub Time Machine (Film, 10); Obliterated (23)","[IMDb]"
520,"Josh Kellard",5,"Last Man Standing (5)","Last Man Standing (11)","[IMDb]"
521,"Josh Kerns",3,"Suburgatory (3)","Suburgatory (11)","[IMDb]"
522,"Josh Kirby",5,"Fresh Off Boat (5)","Fresh Off Boat (15)","[IMDb]"
523,"Josh Malmuth",16,"Superstore (7); New Girl (9)","New Girl (11); Superstore (15); Abby's (19)","[IMDb]"
524,"Josh Siegal",10,"TGP (7); Kimmy Schmidt (3); Great News (3)","TGP (16); Kimmy Schmidt (15); Great News (17); 30 Rock (06); Letterman (93)","[IMDb], [WGA]"
525,"Josh Weinstein",3,"Futurama (3)","Futurama (99); Simpsons (89); Mission Hill (99); Disenchantment (18); Strange Hill High (13)","[IMDb]"
526,"Joshua Levy",3,"iZombie (3)","iZombie (15)","[IMDb]"
527,"Juanesta C. Jeffries",3,"Upshaws (3)","Upshaws (21)","[IMDb]"
528,"Judah Miller",29,"KOTH (6); American Dad (15); Crashing (6); Bupkis (8)","American Dad (05); Bupkis (23); Crashing (17); KOTH (97); Axe Cop (12)","[IMDb]"
529,"Judd Apatow",18,"Girls (10); Crashing (8)","Girls (12); Crashing (17); Freaks and Geeks (99); Larry Sanders (92); Undeclared (01)","[IMDb], [Emmys]"
530,"Julie Bean",15,"Mike & Molly (15)","Mike & Molly (10)","[IMDb]"
531,"Julie Klausner",3,"Big Mouth (3)","Big Mouth (17); Difficult People (15); Billy on the Street (11)","[IMDb]"
532,"Julie Thacker Scully",5,"Last Man Standing (5)","Last Man Standing (11); Simpsons (89); Fuller House (16)","[IMDb]"
533,"Justin Adler",16,"Life in Pieces (16)","Life in Pieces (15); Samantha Who? (07); Less Than Perfect (02)","[IMDb]"
534,"Justin Hurwitz",7,"Curb (3); League (4)","Curb (00); League (09); La La Land (Film Composer, 16)","[IMDb], [Oscar]"
535,"Justin Noble",20,"B99 (10); Sex Lives College Girls (10); NHIE (0)","B99 (13); Sex Lives College Girls (21); NHIE (20)","[IMDb]"
536,"Justin Roiland",20,"Rick & Morty (20)","Rick & Morty (13); Solar Opposites (20); Adventure Time (10); Fish Hooks (10)","[IMDb]"
537,"Justin Shipley",8,"Wrecked (8)","Wrecked (16)","[IMDb]"
538,"Justin Spitzer",34,"Superstore (17); Office (11); American Auto (6)","Superstore (15); Office (05); American Auto (21); Mulaney (14); Scrubs (01)","[IMDb], [NBC]"
539,"Kaitlin Dahill",3,"Suburgatory (3)","Suburgatory (11)","[IMDb]"
540,"Kal Penn",11,"Sunnyside (11)","Sunnyside (11 - Creator/Actor); Harold & Kumar (Film Actor); House (Actor); Designated Survivor (Actor)","[IMDb]"
541,"Karen Joseph Adcock",3,"Bear (3)","Bear (22); The PJs (99); Wonder Showzen (05)","[IMDb]"
542,"Karen Kilgariff",5,"Portlandia (5)","Portlandia (11); Mr. Show (95); My Favorite Murder (Podcast); Ellen DeGeneres Show (03)","[IMDb]"
543,"Karey Dornetto",13,"Superstore (3); Arrested Dev. (3); Community (4); Red Oaks (3); Portlandia (0)","Community (09); Arrested Dev. (03); Superstore (15); Red Oaks (14); Portlandia (11)","[IMDb]"
544,"Kassia Miller",6,"TGP (3); Last Man (3)","TGP (16); Last Man on Earth (15); Clone High (23); Making History (17)","[IMDb]"
545,"Kat Likkel",3,"Grinder (3)","Grinder (15); My Name Is Earl (05); Better Off Ted (09); Downward Dog (17)","[IMDb]"
546,"Kate Gersten",8,"TGP (3); Mozart Jungle (5)","Mozart Jungle (14); TGP (16); The Good Wife (09)","[IMDb]"
547,"Katherine Kearns",3,"Hacks (3)","Hacks (21)","[IMDb]"
548,"Katie Crown",10,"Bob's Burgers (10)","Bob's Burgers (11); Total Drama (07); Clarence (13); Amphibia (19)","[IMDb]"
549,"Katie Dippold",7,"P&R (7)","P&R (09); Ghostbusters (Film, 16); The Heat (Film, 13); Snatched (Film, 17); MADtv (06)","[IMDb], [Variety]"
550,"Katie Elmore Mota",5,"Crazy Ex-GF (5)","Crazy Ex-GF (15)","[IMDb]"
551,"Kay Cannon",11,"New Girl (11)","New Girl (11); 30 Rock (07); Pitch Perfect (Film Series); Blockers (Film, 18); Girlboss (17)","[IMDb]"
552,"Kay Foster",7,"Goldbergs (7)","Goldbergs (13); Heroes (06); The Practice (97)","[IMDb]"
553,"Keegan-Michael Key",64,"Key & Peele (54); MADtv (10)","Key & Peele (12); MADtv (04); Friends from College (17); Schmigadoon! (21); Fargo (14)","[IMDb], [Emmys]"
554,"Keith Akushie",3,"Avenue 5 (3)","Avenue 5 (20); Fresh Meat (11); Siblings (14)","[IMDb]"
555,"Keith Heisler",16,"American Dad (10); Fresh Off Boat (10)","American Dad (05); Fresh Off Boat (15)","[IMDb]"
556,"Kelly Fullerton",4,"Awkward. (4)","Awkward. (11)","[IMDb]"
557,"Kelly Galuska",6,"Big Mouth (6)","Big Mouth (17); BoJack Horseman (14); Archer (09)","[IMDb]"
558,"Kelly Hutchinson",5,"Dead to Me (5)","Dead to Me (19)","[IMDb]"
559,"Kelvin Yu",20,"Bob's Burgers (20)","Bob's Burgers (11); The Great North (21); Central Park (20); Master of None (Actor, 15)","[IMDb]"
560,"Ken Greller",3,"Dickinson (3)","Dickinson (19)","[IMDb]"
561,"Ken Keeler",17,"Futurama (17)","Futurama (99); Simpsons (89); The Critic (94); Wings (90); Disenchantment (18)","[IMDb], [Emmys]"
562,"Ken Marino",10,"Childrens Hospital (10)","Childrens Hospital (08); Party Down (09); Burning Love (12); The State (93); Wet Hot Am. Summer (15)","[IMDb]"
563,"Kenan Thompson",0,"(Creator of Kenan, but no writing credits listed in source)","Kenan (21); SNL (Actor, 03); All That (94); Kenan & Kel (96)","[IMDb]"
564,"Kenya Barris",27,"Black-ish (27)","Black-ish (14); Grown-ish (18); Mixed-ish (19); #BlackAF (20); Girls Trip (Film, 17)","[IMDb], [Peabody]"
565,"Kenny Schwartz",20,"American Dad (20)","American Dad (05)","[IMDb]"
566,"Kenny Smith",9,"Black-ish (9)","Black-ish (14); The Game (06); Marlon (17); Kenan (21)","[IMDb]"
567,"Kevin Abbott",10,"Last Man Standing (10)","Last Man Standing (11); Roseanne (88); Grace Under Fire (93); Reba (01); Cristela (14)","[IMDb]"
568,"Kevin Avery",5,"Great North (5)","Great North (21); Last Week Tonight (14); The New Negroes (19)","[IMDb]"
569,"Kevin Biegel",4,"Fresh Off Boat (4)","Fresh Off Boat (15); Cougar Town (09); Scrubs (01); Enlisted (14)","[IMDb]"
570,"Kevin Biggins",10,"Family Guy (10)","Family Guy (99)","[IMDb]"
571,"Kevin Cecil",9,"Veep (3); Da Ali G Show (6)","Veep (12); Da Ali G Show (00); Little Britain (03); Black Books (00); Gnomeo & Juliet (Film, 11)","[IMDb]"
572,"Kevin Curran",15,"Simpsons (15)","Simpsons (89); Letterman (82); Married... Children (87); Unhappily Ever After (95)","[IMDb], [Emmys]"
573,"Kevin Etten",10,"Workaholics (10)","Workaholics (11); Scrubs (01); Ed (00); Reaper (07)","[IMDb]"
574,"Kevin Heffernan",10,"Tacoma FD (10)","Tacoma FD (19); Super Troopers (Film Series); Beerfest (Film, 06); Broken Lizard's Club Dread (04)","[IMDb]"
575,"Kevin Hench",20,"Last Man Standing (20)","Last Man Standing (11); Cristela (14); Mr. Iglesias (19)","[IMDb]"
576,"Kevin Kataoka",3,"Wilfred (3)","Wilfred (11)","[IMDb]"
577,"Kevin Lappin",6,"Mike & Molly (6)","Mike & Molly (10)","[IMDb]"
578,"Kevin McManus",3,"Cobra Kai (3)","Cobra Kai (18); American Vandal (17); The Great Outdoors (Film, 88 - Actor?)","[IMDb]"
579,"Kevin White",10,"Corner Gas (10)","Corner Gas (04); Kim's Convenience (16); Schitt's Creek (15)","[IMDb]"
580,"Kim Caramele",10,"Inside Amy Schumer (10)","Inside Amy Schumer (13); Trainwreck (Film, 15); Life & Beth (22)","[IMDb]"
581,"Kim Rosenstock",15,"New Girl (10); Single Parents (5)","New Girl (11); Single Parents (18)","[IMDb]"
582,"Kim Tran",3,"Space Force (3)","Space Force (20)","[IMDb]"
583,"Kindsey Young",3,"Insecure (3)","Insecure (16)","[IMDb]"
584,"Kira Kalush",5,"Last Man (5)","Last Man on Earth (15)","[IMDb]"
585,"Kira Talise",3,"Killing It (3)","Killing It (22)","[IMDb]"
586,"Kirker Butler",10,"Family Guy (10)","Family Guy (99); The Cleveland Show (09); Galavant (15)","[IMDb]"
587,"Kit Boss",17,"KOTH (10); iZombie (7)","KOTH (97); iZombie (15); Bob's Burgers (11); iCarly (07)","[IMDb]"
588,"Kourtney Kang",29,"HIMYM (26); Fresh Off Boat (3)","HIMYM (05); Fresh Off Boat (15); Doogie Kamealoha, M.D. (21)","[IMDb]"
589,"Kristin Gore",5,"Futurama (5)","Futurama (99); SNL (96)","[IMDb]"
590,"Kristin Newman",6,"HIMYM (6)","HIMYM (05); That '70s Show (98); Chuck (07); Galavant (15); The Muppets (15)","[IMDb]"
591,"Kristy Lopez-Bernal",3,"Fresh Off Boat (3)","Fresh Off Boat (15)","[IMDb]"
592,"Kumail Nanjiani",5,"Little America (5)","Little America (20); Silicon V. (Actor, 14); The Big Sick (Film, 17); Portlandia (11)","[IMDb]"
593,"Kurt Metzger",10,"Inside Amy Schumer (10)","Inside Amy Schumer (13); Chappelle's Show (03); Horace and Pete (16)","[IMDb]"
594,"Kyle Dunnigan",7,"Inside Amy Schumer (7)","Inside Amy Schumer (13); Reno 911! (03)","[IMDb]"
595,"Kyle Mack",6,"Single Parents (3); American Auto (3)","Single Parents (18); American Auto (21)","[IMDb]"
596,"Kyle McCulloch",4,"Lady Dynamite (4)","Lady Dynamite (16); South Park (97); SpongeBob SquarePants (99)","[IMDb]"
597,"Kyle Newacheck",15,"Workaholics (15)","Workaholics (11 - Creator/Director/Actor); What We Do in the Shadows (Director)","[IMDb]"
598,"Lacey Friedman",9,"Goldbergs (9)","Goldbergs (13)","[IMDb]"
599,"Lakshmi Sundaram",4,"B99 (4)","B99 (13); Master of N. (15); iZombie (15); Search Party (16)","[IMDb]"
600,"Lamar Woods",13,"B99 (5); Single Parents (3); New Girl (5)","B99 (13); New Girl (11); Single Parents (18); Grand Crew (21); Sherman's Showcase (19)","[IMDb]"
601,"Lamont Ferrell",3,"Upshaws (3)","Upshaws (21); Girlfriends (00)","[IMDb]"
602,"Lang Fisher",30,"Mindy Proj. (14); NHIE (10); Champions (3); 30 Rock (3)","Mindy Proj. (12); NHIE (20); 30 Rock (06); Champions (18); B99 (13)","[IMDb], [WGA]"
603,"Larry David",120,"Curb (120)","Curb (00); Seinfeld (89 - Creator)","[IMDb], [Emmys]"
604,"Larry Wilmore",3,"Black-ish (3)","Black-ish (14); In Living Color (90); The PJs (99); Bernie Mac Show (01); The Nightly Show (15)","[IMDb], [Peabody]"
605,"Laura Gutin Peterson",9,"Black-ish (9)","Black-ish (14)","[IMDb]"
606,"Laura Kittrell",5,"Insecure (5)","Insecure (16); High School Musical: Series (19); Black Monday (19)","[IMDb]"
607,"Laura McCreary",19,"B99 (9); Superstore (3); American Dad (7); Fresh Off Boat (7)","B99 (13); American Dad (05); Fresh Off Boat (15); Superstore (15); Strange Planet (23)","[IMDb]"
608,"Laura Moran",6,"Neighborhood (6)","Neighborhood (18)","[IMDb]"
609,"Lauren Ash",6,"Superstore (3); Not Dead Yet (3)","Superstore (15 - Actor/Writer); Not Dead Yet (23 - Writer/Actor); She-Ra (Voice, 18)","[IMDb]"
610,"Lauren Bans",5,"Goldbergs (5)","Goldbergs (13)","[IMDb]"
611,"Lauren Dombrowski",60,"MADtv (60)","MADtv (95)","[IMDb]"
612,"Lauren Gurganous",5,"Kimmy Schmidt (5)","Kimmy Schmidt (15)","[IMDb]"
613,"Lauren Houseman",6,"Upload (3); Space Force (3)","Upload (20); Space Force (20)","[IMDb]"
614,"Lauren Iungerich",18,"Awkward. (18)","Awkward. (11); On My Block (18)","[IMDb]"
615,"Lauren McGuire",4,"Bless Harts (4)","Bless the Harts (19)","[IMDb]"
616,"Lauren Tyler Scott",6,"Rutherford Falls (3); Loot (3)","Rutherford Falls (21); Loot (22)","[IMDb]"
617,"Lauren Wells",3,"What We Do Shadows (3)","What We Do Shadows (19)","[IMDb]"
618,"Leann Bowen",3,"Ted Lasso (3)","Ted Lasso (20); Dear White People (17)","[IMDb]"
619,"Lee Eisenberg",26,"Office (15); Jury Duty (8); Little America (5); Workaholics (3); Hello Ladies (0)","Office (05); Jury Duty (23); Little America (20); Workaholics (11); Hello Ladies (13)","[IMDb], [THR]"
620,"Leila Strachan",7,"Kimmy Schmidt (4); Happy Endings (3)","Kimmy Schmidt (15); Happy Endings (11); Awkward. (11)","[IMDb]"
621,"Lena Dunham",25,"Girls (25)","Girls (12); Camping (18); Tiny Furniture (Film, 10); Industry (Exec Prod, 20)","[IMDb], [Globes]"
622,"Lena Waithe",4,"Master of N. (4)","Master of N. (15); The Chi (18 - Creator); Twenties (20); Queen & Slim (Film, 19)","[IMDb], [Emmys]"
623,"Lennon Parham",10,"Playing House (10)","Playing House (14); Best Friends Forever (12); Veep (Actor, 12)","[IMDb]"
624,"Leo Batalov",3,"Muppets (3)","Muppets (2015) (15)","[IMDb]"
625,"Lesley Wake Webster",7,"Life in Pieces (7)","Life in Pieces (15); Go On (12); Speechless (16)","[IMDb]"
626,"Leslye Headland",6,"Russian Doll (6)","Russian Doll (19); Bachelorette (Film, 12); Sleeping w/ Other People (Film, 15); Terriers (10)","[IMDb]"
627,"Lev Morton",4,"Fresh Off Boat (4)","Fresh Off Boat (15)","[IMDb]"
628,"Lew Morton",24,"Veep (14); Futurama (10)","Veep (12); Futurama (99); Curb (00); NewsRadio (95)","[IMDb]"
629,"Lew Schneider",14,"Goldbergs (14)","Goldbergs (13); Everybody Loves Raymond (96); Men of a Certain Age (09)","[IMDb]"
630,"Linda Videtti Figueiredo",15,"Last Man Standing (10); Fuller House (5)","Last Man Standing (11); Fuller House (16); Rules of Engagement (07)","[IMDb]"
631,"Lindsey Shockley",5,"Black-ish (5)","Black-ish (14); Trophy Wife (13); Ben and Kate (12); Perfect Couples (10)","[IMDb]"
632,"Lindsey Stoddart",3,"Central Park (3)","Central Park (20)","[IMDb]"
633,"Lisa Muse Bryant",4,"Black-ish (4)","Black-ish (14)","[IMDb]"
634,"Liz Astrof",12,"Raising Hope (3); Last Man Standing (9)","Last Man Standing (11); Raising Hope (10); King of Queens (98); 2 Broke Girls (11); Pivoting (22)","[IMDb]"
635,"Liz Cackowski",9,"Community (3); Last Man (6)","Last Man on Earth (15); Community (09); SNL (03); Forgetting Sarah Marshall (Film, 08)","[IMDb]"
636,"Liz Feldman",14,"Dead to Me (11); Life in Pieces (3)","Dead to Me (19); Life in Pieces (15); 2 Broke Girls (11); One Big Happy (15)","[IMDb]"
637,"Lizzie Molyneux-Logelin",30,"Bob's Burgers (20); Great North (10)","Bob's Burgers (11); Great North (21); Deadpool 3 (Film, planned)","[IMDb], [Emmys]"
638,"Lon Zimmet",10,"Superstore (4); Happy Endings (3); Kimmy Schmidt (3); LA->Vegas (0)","Superstore (15); Happy Endings (11); Kimmy Schmidt (15); LA->Vegas (18)","[IMDb]"
639,"Loren Bouchard",60,"Bob's Burgers (40); Central Park (10)","Bob's Burgers (11); Central Park (20); Home Movies (99); Lucy, Daughter of Devil (05)","[IMDb], [Emmys]"
640,"Lucia Aniello",20,"Hacks (10); Broad City (10)","Hacks (21); Broad City (14); Time Traveling Bong (16); Rough Night (Film Dir, 17)","[IMDb], [Emmys]"
641,"Luke Del Tredici",23,"B99 (17); Killing It (6)","B99 (13); Killing It (22); 30 Rock (06); Bored to Death (09); The Last OG (18)","[IMDb]"
642,"Luke Kelly Clyne",3,"Miracle Workers (3)","Miracle Workers (19)","[IMDb]"
643,"Luan Thomas",15,"Mindy Proj. (5); Cobra Kai (7); F Is for Family (3); Workaholics (3)","Cobra Kai (18); Mindy Proj. (12); F Is for Family (15); Workaholics (11)","[IMDb]"
644,"Mackenzie Dohr",3,"Mindy Proj. (3)","Mindy Proj. (12); Veronica Mars (04); iZombie (15)","[IMDb]"
645,"Maggie Bandur",3,"Community (3)","Community (09); Galavant (15); Malcolm Middle (00)","[IMDb]"
646,"Maggie Mull",6,"Life in Pieces (6)","Life in Pieces (15); Family Guy (99)","[IMDb]"
647,"Maggie Sheridan",3,"Loot (3)","Loot (22)","[IMDb]"
648,"Maiya Williams",3,"Futurama (3)","Futurama (99); Fresh Prince (90); Mad About You (92); Nightly Show w/ Larry Wilmore (15)","[IMDb]"
649,"Marc Cherry",0,"(No shows from Phase 3 list)","Desperate Housewives (04); Golden Girls (85); Devious Maids (13); Why Women Kill (19)","[IMDb]"
650,"Marc Firek",10,"Goldbergs (7); Not Dead Yet (3)","Goldbergs (13); Not Dead Yet (23)","[IMDb]"
651,"Marc Maron",10,"Maron (10)","Maron (13); GLOW (Actor, 17); WTF with Marc Maron (Podcast)","[IMDb]"
652,"Marc Theobald",3,"Last OG (3)","Last OG (18)","[IMDb]"
653,"Marc Wilmore",4,"F Is for Family (4)","F Is for Family (15); Simpsons (89); In Living Color (90)","[IMDb], [Emmys]"
654,"Marcos Gonzalez",3,"Jury Duty (3)","Jury Duty (23)","[IMDb]"
655,"Marcy Jarreau",3,"B99 (3)","B99 (13); TGP (16); Single Parents (18); @midnight (13)","[IMDb]"
656,"Margee Magee",3,"Muppets (3)","Muppets (2015) (15)","[IMDb]"
657,"Maria Brown-Gallenberg",5,"Fuller House (5)","Fuller House (16)","[IMDb]"
658,"Marika Sawyer",4,"What We Do Shadows (4)","What We Do Shadows (19); SNL (09)","[IMDb]"
659,"Marisa Pinson",4,"Angie Tribeca (4)","Angie Tribeca (16)","[IMDb]"
660,"Marissa Pinson",3,"Playing House (3)","Playing House (14)","[IMDb]"
661,"Mark Alton Brown",5,"Upshaws (5)","Upshaws (21); Girlfriends (00)","[IMDb]"
662,"Mark Farrell",20,"Corner Gas (20)","Corner Gas (04); Kim's Convenience (16); This Hour Has 22 Minutes (93)","[IMDb]"
663,"Mark Hentemann",15,"Family Guy (15)","Family Guy (99); Bordertown (16); Letterman (93)","[IMDb]"
664,"Mark Levin",10,"Big Mouth (10)","Big Mouth (17); The Wonder Years (88); Journey to Center of Earth (Film, 08)","[IMDb]"
665,"Mark Roberts",20,"Mike & Molly (20)","Mike & Molly (10); Two and a Half Men (03); The Big Bang Theory (07)","[IMDb]"
666,"Markham Casey",3,"League (3)","League (09)","[IMDb]"
